card_title|level|monster_type|description|attack|defence|magic|characters|skills|image
罗汉金仙|0|金|【天仙种】|0|8|0|{"react_characters":"当场上有卡牌离开场上时，此卡防御力+5直到该回合结束，并获得一个免于效果破坏的护盾（不可叠加）。"}|[]|pictures/gold_budda.png
莲花盾仙|0|木|【天仙种】|1|6|0|{"normal_characters":"此卡在场上时，对方不能指定攻击此卡右侧怪物。"}|[{"skill_name":"莲花盾","number_power":0,"skill_text":"丢弃一张手牌，防御力+3直到对方回合结束。"}]|pictures/lotus_shield.png
莲花剑仙|1|木|【天仙种】|6|4|0|{"react_characters":"此卡发动攻击时，可以将防御力数值加到攻击上。攻击结束后防御力归零直到对方回合结束。"}|[{"skill_name":"莲花剑法","number_power":0,"skill_text":"弃牌堆顶上为预言卡才可启动，本回合可以攻击两次。"}]|pictures/lotus_sword.png
虔诚信徒|0||【人类种】|0|0|0|{"normal_characters":"将此卡破坏，可以从手牌额外召唤一张怪物（所需灵力-1）。"}|[]|pictures/faithful.png
大将|2|金|【人类种】正义温和的将军城城主，育有二儿二女。|9|10|0.3|{"normal_characters":"此卡在场上，对方不能选择其他【人类种】为攻击对象。"}|[{"skill_name":"赏钱","number_power":1,"skill_text":"抽一张牌。"}]|pictures/general.png
月族女战士|2|金|【人类种】非常神秘，偶尔出没在将军城。|8|11|0.2|{"react_characters":"当场上有怪物使用灵力施展技能后，此卡吸收其使用掉的灵力。一回合合计最高2点。"}|[{"skill_name":"月之祝福","number_power":6,"skill_text":"将6点灵力平均分配给我方场上所有怪物。"}]|pictures/moon_fighter.png
观音上仙|2|光|【天仙种】仙人中的仙人。众仙仰慕的对象。|5|15|0.2|{"normal_characters":"此卡在场上，召唤高级怪物所需灵力-1。召唤出的高级怪物获得一点灵力。"}|[]|pictures/guanyin.png
双头尸牛|3|水|【不死种】双头牛头人。本是兽人种，却被视为凶相而被族人杀死。在怨恨中成为了不死种。|12|5|1.5|{"normal_characters":"此回合此卡沉默，我方一回合可以使用两次预言卡。","react_characters":"被攻击破坏后，如果有灵力，可以消耗所有灵力，立即复活。"}|[{"skill_name":"波浪鼓","number_power":1,"skill_text":"【攻击技能】造成的伤害翻倍。"}]|pictures/doublehead_bull.png
斗战圣仙|3|火|【天仙种】这泼猴。|9|10|1|{}|[{"skill_name":"炬眼","number_power":0,"skill_text":"查看对方一张盖牌。"},{"skill_name":"变化","number_power":1,"skill_text":"等效使用场上其他一只怪物的技能。"},{"skill_name":"分身","number_power":2,"skill_text":"基于场上剩余怪物格子，创建虚拟分身。分身可以使用技能和攻击。分身技能消耗此卡灵力。"}]|pictures/monkey_king.png
巨蟹骑士|1|火|【鱼人种】|5|6|0|{"react_characters":"收到灵力时，防御力+3直到对方回合结束。或再丢弃一张手牌，攻击力+3直到回合结束。"}|[{"skill_name":"蟹黄宝","number_power":0,"skill_text":"支付5点生命值，抽两张牌，丢弃一张手牌。"},{"skill_name":"烈焰蟹击","number_power":3,"skill_text":"攻击力+5直到回合结束，战斗伤害翻倍。"}]|pictures/krebs.png
龙虾骑士|1|水|【鱼人种】|6|5|0|{"normal_characters":"此卡攻击力+最高场上其他卡片攻击力加成。"}|[{"skill_name":"虾线冲击","number_power":0,"skill_text":"支付5点生命，破坏对方场上一张覆盖的预言卡。并获得一点灵力，可随意分配。"},{"skill_name":"突刺","number_power":1,"skill_text":"【攻击技能】如果此卡攻击力大与对方两只怪兽防御力的总和，可以一起破坏，并计算战斗伤害。"}]|pictures/lobster.png
幽夜猫|2|冰|【恶魔种】恶魔地界的宠物，很难在其他地方看到。|9|5|1|{"normal_characters":"此卡给对方造成伤害后，我方抽一张牌。"}|[{"skill_name":"寒霜吐息","number_power":0,"skill_text":"使对方一只怪兽本回合防御力-5。"},{"skill_name":"折射冰晶","number_power":1,"skill_text":"(当我方生命值更低才可使用) 此回合使用的某张预言卡的效果可以再发挥一次。"}]|pictures/night_cat.png
龙王三公主|2|水|【鱼人种】能谋善战，未来的女龙王。|10|8|1|{"normal_characters":"（一回合一次）可以无效化对此卡的一次攻击，或者一次效果。"}|[]|pictures/dragon_princess.png
江湖侠客|1|金|【人类种】女装大佬，枪法了得。|7|6|1|{"normal_characters":"（一回合一次）将对方对此卡的攻击无效化。"}|[]|pictures/female_lancher.png
天使歌姬|0|风|【天使种】|5|2|1.2|{"react_characters":"（一回合一次）对方发动攻击时：该攻击无效化。"}|[]|pictures/bird_singer.png
巴拉小雷仙|0|雷|【天仙种】|4|4|1|{}|[{"skill_name":"麻痹","number_power":0,"skill_text":"指定对方场上一只怪物，直到下次对方回合结束前该怪物不可发动攻击。"}]|pictures/bala.png
恶魔花女|0|毒|【恶魔种】|2|3|1|{"normal_characters":"此卡在场上，对方所有怪物防御力-3，最低到0。"}|[{"skill_name":"毒素喷溅","number_power":1,"skill_text":"破坏对方场上所有防御力为0的怪物。"}]|pictures/devil_flower.png
蛇仙|0|毒|【天仙种】|5|3|0.5|{"normal_characters":"此卡造成的战斗伤害翻倍。"}|[{"skill_name":"炼化蛇丹","number_power":1,"skill_text":"战斗破坏对方怪物时，抽一张牌。"}]|pictures/snake_girl.png
虎金大哥|0||【鱼人种】|4|4|0.5|{"normal_characters":"此卡造成的战斗伤害翻1.5倍（向上取整）"}|[{"skill_name":"虎鲸拳","number_power":1,"skill_text":"攻击力x2"}]|pictures/hujin.png
骨刺魔女|1||【恶魔族】|10|4|0.5|{}|[{"skill_name":"刺骨穿心","number_power":1,"skill_text":"此卡攻击破坏对方怪兽时，给予对方等同该怪兽防御力的伤害。此伤害视作战斗伤害。此卡防御力+3直到对方回合结束。"}]|pictures/skeleton_girl.png
瑶光血仙|1|光|【天仙种】|10|3|1|{"normal_characters":"此卡造成战斗伤害时，我方恢复同等数值。"}|[]|pictures/blood_god.png
护法童子|1|虚|【天仙种】|6|3|1|{"normal_characters":"在我方回合，此卡防御力会加到攻击力上，并归零。在对方回合恢复。"}|[{"skill_name":"护法阵","number_power":0,"skill_text":"我方全场怪物获得一次不被战斗破坏的保护增益（不可叠加）。"},{"skill_name":"挑衅","number_power":0,"skill_text":"轮流指定对方场上怪物对我方怪物发动攻击，攻击造成的战斗伤害由对方承担。"}]|pictures/childgod2.png
护法童子|1|虚|【天仙种】|6|3|1|{"normal_characters":"在我方回合，此卡防御力会加到攻击力上，并归零。在对方回合恢复。"}|[{"skill_name":"护法阵","number_power":0,"skill_text":"我方全场怪物获得一次不被战斗破坏的保护增益（不可叠加）。"},{"skill_name":"挑衅","number_power":0,"skill_text":"轮流指定对方场上怪物对我方怪物发动攻击，攻击造成的战斗伤害由对方承担。"}]|pictures/childgod.png
流沙女仙|0|土|【天仙种】|2|6|0.5|{"normal_characters":"此卡在场上时，对方必须优先攻击此卡，优先级=此卡攻击力。"}|[{"skill_name":"时光倒转","number_power":3,"skill_text":"（一回合一次）回到我方怪物阶段开始。"}]|pictures/sand_god.png
符石傀儡|0|岩|【石头人种】|3|5|1|{}|[{"skill_name":"符石充能","number_power":0,"skill_text":"此回合攻击力+5"}]|pictures/magic_rock.png
玄壳毒母|0|毒|【昆虫种】|4|5|0.5|{"normal_characters":"攻击力+2"}|[]|pictures/poison.png
风刃螳魔|0|风|【昆虫人种】|0|4|2|{}|[{"skill_name":"风刃","number_power":0,"skill_text":"【攻击技能】此次攻击攻击力+10"}]|pictures/wind_insect.png
双首九尾冰狐|0|冰|【魔灵种】|4|0|1.5|{"normal_characters":"此卡一回合可以攻击两次。","react_characters":"此卡被攻击力时，防御力+3"}|[]|pictures/nine_tails.png
精灵短枪兵|1|火|【精灵种】精灵种的武器也迎来了技术的升级。|6|7|1|{"react_characters":"（一回合一次）此卡被攻击时，可以通过移除一个灵力来获得防御力+5，直到回合结束。"}|[{"skill_name":"精准射击","number_power":0,"skill_text":"【攻击技能】此次攻击力+5，但此攻击造成玩家伤害为0。"}]|pictures/elf_shooter.png
战士哥布林|0||【兽人种】有的哥布林似乎身经百战，但实际依然没什么杀伤力。|3|2|0.5|{"normal_characters":"场上有【兽人种】怪兽时，可以额外召唤此卡。以这样的方式召唤的回合此卡不能攻击。","react_characters":"被防御力高于此卡的怪物攻击时，防御+1"}|[{"skill_name":"到处切磋","number_power":0,"skill_text":"如果我方场上有攻击力高于此卡的怪物，则此回合此卡攻击+1；如果我方场上没有攻击力高于此卡的怪物，则抽一张牌。"}]|pictures/fighter_goblin.png
无限怨灵|0|虚|【灵体种】|5|0|1|{"normal_characters":"此卡进入弃牌堆后，直接加入我方手牌。"}|[{"skill_name":"连续怨刃","number_power":1,"skill_text":"（一回合最多使用三次）【攻击技能】此攻击不计入攻击次数"}]|pictures/wraith.png
邪术师|0|暗|【人类种】天生魅体，但是热衷钻研学术。|3|5|1|{"react_characters":"对方结束布置阶段时，给予对方6点伤害。"}|[]|pictures/dark_magician.png
雷暴蜂后|1|雷|【昆虫人种】|8|5|1|{}|[{"skill_name":"雷击","number_power":0,"skill_text":"给予对方5点伤害。"}]|pictures/storm_hornet.png
霜翼甲虫|1|冰|【昆虫种】|3|10|1|{"react_characters":"对方每召唤一张怪物或使用一张预言卡，受到2点伤害。"}|[]|pictures/frost_beetle.png
舞鱼人|0|水|【鱼人种】|0|3|0|{"normal_characters":"此卡在场上，我方每回合可以使用两张预言卡。"}|[{"skill_name":"防御之舞","number_power":0,"skill_text":"支付5生命，下次对此卡的攻击无效化。"},{"skill_name":"进攻之舞","number_power":0,"skill_text":"每丢弃一张手牌，此卡此回合攻击力+5（最多三张）"}]|pictures/dance_fish.png
爆影精灵|1|暗|【精灵种】|5|4|2|{}|[{"skill_name":"传洞","number_power":1,"skill_text":"丢弃一张手牌，将对方场上一张卡牌放置到对方牌堆上方。"}]|pictures/shadow_burst.png
圣女|0|光|【人类种】洁癖，拒绝谈恋爱。|0|3|1.5|{"normal_characters":"我方所有怪物防御力+1。","react_characters":"当我方抽牌阶段开始，如果对方手牌多于我方，额外多抽一张。"}|[{"skill_name":"圣言灭","number_power":1,"skill_text":"丢弃一张手牌，破坏对方场上一张正面表示的预言卡（由对方自己选择）。"},{"skill_name":"神物除","number_power":1,"skill_text":"丢弃一张手牌，破坏对方场上一张怪物卡（由对方自己选择）。"}]|pictures/protector.png
财宝仓鼠|0|金|【动物种】|0|4|2|{"react_characters":"（一回合一次）当我方丢弃手牌或额外抽牌时：可以去除此卡两点灵力。随机将对方场上一张正面表示的牌移动到我方场上。"}|[]|pictures/gold_hamster.png
谋士集团|0||【人类种】三个人总是吵架，但形影不离。|0|0|2.5|{"react_characters":"（一回合一次）当对方使用发出攻击指令时：我方翻出牌堆第一张牌。如果是0级怪兽可以直接召唤并接受攻击；如果是预言卡，可直接使用。如果无法召唤或使用，则丢弃。"}|[]|pictures/clevers.png
飓风魔鱼|1|风|【鱼种】|5|4|2|{}|[{"skill_name":"风吸","number_power":0,"skill_text":"选择对方场上一只怪物卡，回到对方手牌。并获得该怪物所有灵力。"}]|pictures/cyclone.png
哥布林王|2|木|【兽人种】这大概就是你能遇到的最强哥布林了。|9|6|1|{"normal_characters":"我方场上其他名字中有<哥布林>的怪物不会被战斗破坏。"}|[{"skill_name":"掠夺","number_power":1,"skill_text":"此卡战斗破坏对方怪物时，我方抽（我方场上怪物数量-1）张牌。"}]|pictures/goblin_king.png
超级彩虹桉|1|木|【植物人种】|8|6|0.5|{"normal_characters":"每点携带灵力给自身+1攻击力，+1防御力。"}|[]|pictures/rainbow_tree.png
森林仙子|0|木|【植物人种】|2|6|1|{}|[{"skill_name":"充能","number_power":0,"skill_text":"灵力+1"}]|pictures/coreblossom.png
白化哥布林|0|虚|【兽人种】哥布林内部也有不受待见的。|3|2|0.5|{"normal_characters":"布置阶段时可以将此卡放置（或移动）到预言卡区域，并视作怪物卡。当我方场上有其他怪物时，对方不能指定此卡为攻击对象。"}|[{"skill_name":"祝福","number_power":1,"skill_text":"将攻击力加到另一个怪物身上。该怪物此回合可以额外攻击一次。"},{"skill_name":"白盾","number_power":2,"skill_text":"场上一只怪物防御力+10，直到对方回合结束。"}]|pictures/white_goblin.png
哥布林|0|土|【兽人种】脆弱的怪物，谁都可以踩两脚。|2|0|0|{"react_characters":"此卡被破坏后，直接加入我方手牌，且我方再抽一张牌。"}|[]|pictures/goblin.png
岩蚁卫|0|岩|【昆虫人种】|3|5|0|{"react_characters":"当我方怪兽被攻击时：此卡可以协同防御。被协同防御的怪物防御力+此卡防御力。协同防御后，此卡该回合防御力归0。"}|[{"skill_name":"亢奋","number_power":1,"skill_text":"此卡进入【亢奋】状态。被战斗破坏时，给予对方10点伤害。"}]|pictures/antguard.png
坐骑狼|1|土|【动物种】有于智商比较低，所以可以乘骑一会儿的狼。|5|8|0.5|{"react_characters":"我方怪物发动攻击时：此卡可以协同攻击。该怪物攻击力+此卡攻击力。（协同攻击算攻击次数）","normal_characters":"对方场上没有怪物时，攻击力+3"}|[]|pictures/ride_wolf.png
树枝女|0|木|【植物人种】|2|3|1|{"react_characters":"我方使用预言卡时：此卡灵力+1。"}|[{"skill_name":"传输灵力","number_power":0,"skill_text":"将此卡至多2点灵力转移到别的怪物卡上。"}]|pictures/woodwoman.png
水晶球灵|1|雷|【灵体种】可以化成各种猫型态。|4|5|1|{"react_characters":"当有怪物被战斗破坏后：查看我方牌堆最上方的牌。"}|[{"skill_name":"出灵","number_power":0,"skill_text":"从弃牌堆选择，或者从牌堆上方抽取一张牌作为此卡的灵力。"},{"skill_name":"转灵","number_power":0,"skill_text":"重新分配我方场上5点及其以下灵力。"}]|pictures/ball_magician.png
女武师|1||【人类种】天生怪力的哑巴。|5|4|1|{"normal_characters":"在对方回合防御力+3"}|[{"skill_name":"高速拳法","number_power":0,"skill_text":"【攻击技能】攻击+3"},{"skill_name":"一蛇绝杀","number_power":4,"skill_text":"【攻击技能】攻击+20"}]|pictures/girl_boxer.png
法盾师|1|虚|【人类种】最大的特点是但小。|0|9|1|{"react_characters":"对方发动怪兽技能或预言卡效果：丢弃一张预言卡，无效化该效果释放。"}|[{"skill_name":"法盾","number_power":0,"skill_text":"我方一只怪物防御+5，直至对方回合结束。"},{"skill_name":"灵力转移","number_power":0,"skill_text":"重新分配此卡身上任意灵力。"},{"skill_name":"加涅尔守护","number_power":1,"skill_text":"无效化下回合对方两次攻击。"}]|pictures/magic_shield.png
小翼虎魔|0|暗|【魔灵种】喜欢在风中讲鬼故事。|3|3|0|{"react_characters":"当对方给予我方非战斗伤害时：我可查看对方三张手牌。"}|[{"skill_name":"翼盾","number_power":0,"skill_text":"直到对方回合结束，此卡获得一次被卡片效果破坏免疫。"},{"skill_name":"虎哮天冲","number_power":1,"skill_text":"此卡这回合不能攻击，破坏对方场上一张永续预言卡。"}]|pictures/small_fly_tiger.png
天使卫兵|0|光|【天使种】|2|3|1|{}|[{"skill_name":"圣罚","number_power":0,"skill_text":"【攻击技能】被指定攻击的怪物无法发动技能直到对方回合结束。"},{"skill_name":"天赐","number_power":1,"skill_text":"声明对方一张手牌，如果命中，获得该手牌。"}]|pictures/angle_guard.png
鲨之猎人|0|水|【鱼人种】|5|3|0|{"react_characters":"我方受到非战斗伤害时：抽一张牌。"}|[{"skill_name":"破浪攻击","number_power":2,"skill_text":"【攻击技能】对方随机两张手牌丢弃。"}]|pictures/sharkman.png
风灵真君|0|风|【天仙种】|6|2|0|{"react_characters":"当场上有卡牌回到手牌时：此卡攻击+15直到该回合结束。"}|[{"skill_name":"风卷残云","number_power":1,"skill_text":"【攻击技能】攻击破坏怪兽后，此卡防御力+（该被破坏怪物的原本防御力）直到对方回合结束。"}]|pictures/wind_xian.png
阴阳女童|0||【人类种】腹黑小女孩，据说是能掌握混沌之力的天才。|1|3|1|{"react_characters":"当我方造成非攻击伤害时：追加5点伤害。"}|[{"skill_name":"天地异相","number_power":0,"skill_text":"此回合我方造成的战斗伤害翻倍。"},{"skill_name":"嘲讽吸收","number_power":0,"skill_text":"指定场上一只怪物对自己发出额外攻击，之后吸收其一点灵力。"},{"skill_name":"鼓励","number_power":1,"skill_text":"我方场上一只怪兽可以再使用一次技能。"}]|pictures/yingyang_baby.png
青山剑仙|1|金|【灵体种】本体是剑，剑仙是青山神剑的器灵。|9|0|1|{"normal_characters":"此卡无法被灵力更低的怪物攻击选中。","react_characters":"（一回合一次）当受到攻击力或防御力增益的时：从弃牌堆随机获得一张预言卡。"}|[{"skill_name":"凝气决","number_power":0,"skill_text":"（如果此回合我方给对方造成非战斗伤害）抽两张牌，并放回一张手牌到牌堆上方。"},{"skill_name":"灵升诀","number_power":1,"skill_text":"将我方场上一只怪兽放回手牌。对方暂时不能改变手牌顺序，我方抽取一张加入手牌。"}]|pictures/sword_god.png
敏捷女猎|1|金|【人类种】学习了变化之术，可以变猫。|4|5|1|{"normal_characters":"此卡在场上，我方受到的所有伤害-2。"}|[{"skill_name":"隐蔽气息","number_power":1,"skill_text":"防御力+6直到对方回合结束。"},{"skill_name":"偷袭","number_power":1,"skill_text":"【攻击技能】直接攻击对方玩家。并查看对方1张手牌。"}]|pictures/female_killer.png
青苔巨人|0|岩|【石头人种】|3|5|0.5|{"react_characters":"当对方使用预言卡后：此卡+1灵力"}|[{"skill_name":"硬藤衣","number_power":1,"skill_text":"防御力+5直到对方回合结束"}]|pictures/moss.png
灵蕊巨炮|1|木|【植物种】|7|7|0|{"normal_characters":"我方获得灵力的回合，我方所有怪物防御+1，直到对方回合结束。"}|[{"skill_name":"花蕊炮","number_power":5,"skill_text":"给予对方10点信仰伤害，随后再给予对方 （对方手牌数量*5）的伤害。"}]|pictures/blossom_cannon.png
圣藤使|0|木|【植物人种】|0|3|1.2|{"normal_characters":"（一回合两次）每支付5点信仰，此卡可以免疫一次战斗破坏。","react_characters":"（一回合一次）当我方怪物被对方预言卡指定时：无效其效果。"}|[{"skill_name":"传输","number_power":0,"skill_text":"转移我方场上一点灵力。"},{"skill_name":"藤神祈福","number_power":3,"skill_text":"灵力+4"}]|pictures/pixie.png
