card_id|card_title|level|monster_type|description|attack|defence|magic|attributes|skills|image|last_update_datetime
20250914-00025-03ec1b91|The General|2|Metal|[Human] Just and gentle lord of General City; father of four.|9|10|0.3|{"normal_attribute":"While on the field, the opponent cannot choose other [Human] as attack targets."}|[{"name":"Tip","energy_cost":1,"effect":"Draw 1 card."}]|pictures/general.png|2025-09-14 15:11:55
20250914-00027-f1416bc8|Yin-Yang Master|0|Void|[Human] A chuuni cultivator.|3|3|0|{"normal_attribute":"During Operation/Prophecy phase, you may use 1 extra Prophecy.","responsive_attribute":"When the opponent uses a Prophecy during our turn: add < Heaven-borrowed Power > from deck or discard to hand."}|[{"name":"Eight Gates","energy_cost":1,"effect":"Return 1 opponent card on the field to their hand."}]|pictures/yin_yang.png|2025-09-14 15:11:34
20250914-00029-eaea982a|Spartan Samurai|0|Earth|[Human] In monster-filled Gemu, humans are monsters too.|5|5|0|{}|[{"name":"Last Stand","energy_cost":1,"effect":"The next attack this turn gains ATK +1."}]|pictures/spartan_samurai.png|2025-09-14 15:10:58
20250914-00031-20488e53|Goblin|0|Earth|[Beastfolk] Fragile—everyone steps on it.|2|0|0|{"normal_attribute":"When destroyed: add this card to our hand, then draw 1 card."}|[]|pictures/goblin.png|2025-09-14 08:28:49
20250914-00032-312e9228|Albino Goblin|0|Void|[Beastfolk] Even goblins shun this one.|3|2|0.5|{"normal_attribute":"During Set phase, you may place or move this card to the Prophecy zone; it is still treated as a monster. If we control other monsters, the opponent cannot choose this card as an attack target."}|[{"name":"Bless","energy_cost":1,"effect":"Transfer this card’s ATK bonus to another monster. That monster may attack one extra time this turn."},{"name":"White Shield","energy_cost":2,"effect":"One monster gains DEF +10 until the end of the opponent’s turn."}]|pictures/white_goblin.png|2025-09-14 08:27:56
20250914-00033-af24f753|Big-Mouth Goblin|1|Earth|[Beastfolk] Grew by stealing food; short-lived.|7|3|0|{}|[{"name":"Summon","energy_cost":0,"effect":"Directly summon one Level 0 [Beastfolk] to our field."},{"name":"Assault","energy_cost":1,"effect":"[Attack Skill] This attack deals extra battle damage equal to our number of monsters."}]|pictures/big_goblin.png|2025-09-14 08:27:25
20250914-00034-c2a1181c|Goblin Chef|0|Earth|[Beastfolk] Child, time to eat.|0|3|0|{}|[{"name":"Feast","energy_cost":1,"effect":"All other [Beastfolk] gain ATK +2."},{"name":"Pot Hide","energy_cost":0,"effect":"Skip attacking this turn; gain DEF +4 until the end of the opponent’s turn."}]|pictures/goblin_chef.png|2025-09-14 08:27:03
20250914-00035-79709c92|Goblin Holy Urn|0|Earth|[Artifact] A sacred relic of a filthy race!|0|5|0|{"normal_attribute":"Once per turn: Faith -20; add 2 monsters from discard to hand."}|[{"name":"Holy Brood","energy_cost":0,"effect":"Discard 1 card; additional summon 1 Level ≤1 monster with “Goblin” in its name (it cannot attack this turn)."},{"name":"Tribe Birth","energy_cost":1,"effect":"Discard 2 cards; re-enter the Set phase and your summon count is not limited this turn."},{"name":"Clan Doom","energy_cost":2,"effect":"Discard 3 cards; destroy 1 enemy monster, 1 enemy Prophecy, and 1 card in the opponent’s hand."}]|pictures/goblin_vase.png|2025-09-14 08:26:52
20250914-00036-88c90d9c|Twin Goblins|0|Earth|[Beastfolk] Inseparable since birth.|2|2|0|{"normal_attribute":"Counts as two monsters. It is destroyed only after being destroyed twice by battle or twice by card effects in a turn."}|[{"name":"Dual Strike","energy_cost":1,"effect":"This card may attack twice this turn."}]|pictures/double_goblin.png|2025-09-14 08:26:40
20250914-00037-9b716fec|Warrior Goblin|0|Metal|[Beastfolk] Looks seasoned, still weak.|3|2|0.5|{"normal_attribute":"If a [Beastfolk] is on the field, you may additional summon this card; it cannot attack that turn.","responsive_attribute":"When attacked by a monster with higher DEF: this card gains DEF +1."}|[{"name":"Spar All","energy_cost":0,"effect":"(Stacks) If none of our monsters has higher ATK than this card: ATK +1; otherwise: DEF +1."}]|pictures/fighter_goblin.png|2025-09-14 08:26:29
20250914-00038-453c4a76|Goblin King|2|Wood|[Beastfolk] The strongest goblin you’ll meet.|9|6|1|{"normal_attribute":"Other monsters we control with “Goblin” in the name cannot be destroyed by battle."}|[{"name":"Plunder","energy_cost":1,"effect":"When this card destroys a monster by battle: draw (our number of monsters − 1) cards."}]|pictures/goblin_king.png|2025-09-14 08:26:04
20250914-00039-5f820708|Goblin Shaman|1|Wood|[Beastfolk] Not wise, but a poser.|0|2|0|{}|[{"name":"Goblin Shade","energy_cost":2,"effect":"Special summon a monster from hand; return it to our hand from anywhere at the end of the opponent’s turn."},{"name":"Divine Bless","energy_cost":1,"effect":"(Use only at the start of Monster Phase) Destroy 1 monster; end the turn. Until the end of the opponent’s turn, our monsters cannot be destroyed by battle or Prophecy effects."},{"name":"Mana Absorb","energy_cost":0,"effect":"Absorb any amount of Mana from our field, or move all Mana from this card to another monster."}]|pictures/goblin_sama.png|2025-09-14 08:24:24
20250914-00040-5e9bb6aa|Assassin Goblin|0|Metal|[Beastfolk] Kinda conspicuous in broad daylight.|2|0|0|{"normal_attribute":"While we control another monster, this card cannot be chosen as an attack target. This card gains ATK + (2 × the number of monsters we control)."}|[]|pictures/assassin_goblin.png|2025-09-14 08:15:24
20250914-00041-3b3b8e99|Wolf Giant|1|Wood|[Beastfolk] Huge lycan of the great woods; hits friend and foe when rash.|7|6|0|{"normal_attribute":"After flip-summoning, it may immediately attack one of our monsters; the opponent takes that battle damage."}|[{"name":"Wolf Howl","energy_cost":0,"effect":"You may additional summon 1 monster with “Wolf” in its name, or use 1 Prophecy with “Wolf” in its name."},{"name":"Forest Smash","energy_cost":2,"effect":"This card may attack each enemy monster once in sequence until it is destroyed."}]|pictures/wolf_gaint.png|2025-09-14 08:02:36
20250914-00042-1b1c952c|Vinesage|0|Wood|[Plantfolk]|0|3|1.2|{"normal_attribute":"(Twice per turn) Pay 5 Faith: this card avoids one battle destruction.","responsive_attribute":"(Once per turn) When our monster is targeted by an opponent Prophecy: negate it."}|[{"name":"Transfer","energy_cost":0,"effect":"Move 1 Mana from our field."},{"name":"Vine Bless","energy_cost":3,"effect":"Gain Mana +4."}]|pictures/pixie.png|2025-09-14 07:59:20
20250914-00043-43f42eb5|Coreblossom Cannon|1|Wood|[Plant]|7|7|0|{"normal_attribute":"On turns we gain Mana: all our monsters gain DEF +1 until the end of the opponent’s turn."}|[{"name":"Blossom Cannon","energy_cost":5,"effect":"Deal 10 Faith damage; then deal (opponent hand size × 5) damage."}]|pictures/blossom_cannon.png|2025-09-14 07:59:20
20250914-00044-9549c639|Moss Giant|0|Rock|[Rockfolk]|3|5|0.5|{"responsive_attribute":"When the opponent uses a Prophecy: this card gains +1 Mana."}|[{"name":"Vine Mail","energy_cost":1,"effect":"DEF +5 until the end of the opponent’s turn."}]|pictures/moss.png|2025-09-14 07:59:20
20250914-00045-b01b4944|Aoyama Sword Immortal|1|Metal|[Spirit] A sword whose spirit became a swordsage.|9|0|1|{"normal_attribute":"Cannot be selected for attack by monsters with lower Mana.","responsive_attribute":"(Once per turn) When gaining ATK/DEF buffs: randomly add 1 Prophecy from the discard."}|[{"name":"Focus Art","energy_cost":0,"effect":"(If we dealt non-battle damage this turn) Draw 2, then place 1 card from hand on top of the deck."},{"name":"Spirit Rise","energy_cost":1,"effect":"Return one of our monsters to hand; opponent cannot reorder their hand temporarily; we draw 1."}]|pictures/sword_god.png|2025-09-14 07:59:20
20250914-00046-def8536f|Lord of Wind|0|Wind|[Celestial]|6|2|0|{"responsive_attribute":"When any card returns to hand: this card gains ATK +15 until end of turn."}|[{"name":"Gale Sweep","energy_cost":1,"effect":"[Attack Skill] After destroying a monster by battle: this card gains DEF equal to that monster’s original DEF until the end of the opponent’s turn."}]|pictures/wind_xian.png|2025-09-14 07:59:20
20250914-00047-fed51b35|Angel Guard|0|Light|[Angel]|2|3|1|{}|[{"name":"Holy Ban","energy_cost":0,"effect":"[Attack Skill] The targeted monster cannot activate skills until the end of the opponent’s turn."},{"name":"Gift","energy_cost":1,"effect":"Name a card in opponent’s hand; if correct, take it."}]|pictures/angle_guard.png|2025-09-14 07:59:20
20250914-00048-fa96ac63|Winged Tigret|0|Dark|[Fiend] Tells ghost stories on the wind.|3|3|0|{"responsive_attribute":"When the opponent deals non-battle damage to us: look at 3 cards from their hand."}|[{"name":"Wing Shield","energy_cost":0,"effect":"Until the end of the opponent’s turn, this card gains one immunity to destruction by card effects."},{"name":"Tiger Roar","energy_cost":1,"effect":"This card cannot attack this turn; destroy 1 [Persistent] Prophecy on the opponent’s field."}]|pictures/small_fly_tiger.png|2025-09-14 07:59:20
20250914-00049-c052d8e8|Crystal Orbsprit|1|Thunder|[Spirit] Can take many cat forms.|4|5|1|{"responsive_attribute":"When a monster is destroyed by battle: look at the top card of our deck."}|[{"name":"Spirit Call","energy_cost":0,"effect":"Choose from discard or take the top card of deck and place it under this card as Mana."},{"name":"Mana Shift","energy_cost":0,"effect":"Take up to 5 total Mana from our field and redistribute freely."}]|pictures/ball_magician.png|2025-09-14 07:59:20
20250914-00050-aa34160b|Twig Maiden|0|Wood|[Plantfolk]|2|3|1|{"responsive_attribute":"When we use a Prophecy: this card gains +1 Mana."}|[{"name":"Mana Transfer","energy_cost":0,"effect":"Move up to 2 Mana from this card, dividing between up to 2 monsters."}]|pictures/woodwoman.png|2025-09-14 07:59:20
20250914-00051-3b72adc7|Rock Ant Guard|0|Rock|[Insectfolk]|3|5|0|{"responsive_attribute":"When one of our monsters is attacked: this card may co-defend; that monster gains DEF equal to this card’s DEF. After co-defending, this card’s base DEF becomes 0 for the rest of the turn."}|[{"name":"Enrage","energy_cost":1,"effect":"This card enters [Enraged] state. When destroyed by battle, deal 10 damage to the opponent."}]|pictures/antguard.png|2025-09-14 07:59:20
20250914-00052-e348d55e|Forest Pixie|0|Wood|[Plantfolk]|2|6|1|{}|[{"name":"Charge","energy_cost":0,"effect":"Mana +1."}]|pictures/coreblossom.png|2025-09-14 07:59:20
20250914-00053-908d8b7c|Super Rainbow Eucalyptus|1|Wood|[Plantfolk]|8|6|0.5|{"normal_attribute":"For each Mana carried: this card gets ATK +1 and DEF +1."}|[]|pictures/rainbow_tree.png|2025-09-14 07:59:20
20250914-00054-44a30c65|Treasure Hamster|0|Metal|[Beast]|0|4|2|{"responsive_attribute":"(Once per turn) When we discard or draw extra cards: you may remove 2 Mana from this card; randomly move 1 face-up opponent card to our field."}|[]|pictures/gold_hamster.png|2025-09-14 07:59:20
20250914-00055-a00cc723|Shadowburst Sprite|1|Dark|[Elf]|5|4|2|{}|[{"name":"Warp Hole","energy_cost":1,"effect":"Discard 1 card; place 1 opponent card from their field on top of their deck."}]|pictures/shadow_burst.png|2025-09-14 07:59:20
20250914-00056-1da63083|Frostwing Beetle|1|Ice|[Insect]|3|10|1|{"responsive_attribute":"Each time the opponent summons a monster or uses a Prophecy: they take 2 damage."}|[]|pictures/frost_beetle.png|2025-09-14 07:59:20
20250914-00057-a0e1d429|Storm Queen|1|Thunder|[Insectfolk]|8|5|1|{}|[{"name":"Thunderbolt","energy_cost":0,"effect":"Deal 5 damage to the opponent."}]|pictures/storm_hornet.png|2025-09-14 07:59:20
20250914-00058-f18f7a46|Endless Wraith|0|Void|[Spirit]|5|0|1|{"normal_attribute":"When this card enters the discard: return it to our hand."}|[{"name":"Grudge Flurry","energy_cost":1,"effect":"(Up to 3 times per turn) [Attack Skill] This attack does not count toward the attack limit."}]|pictures/wraith.png|2025-09-14 07:59:20
20250914-00059-d2f2028d|Elf Skirmisher|1|Fire|[Elf] Weapon tech upgraded.|6|7|1|{"responsive_attribute":"(Once per turn) When attacked: you may remove 1 Mana to gain DEF +5 until end of turn."}|[{"name":"Aimed Shot","energy_cost":0,"effect":"[Attack Skill] ATK +5 this attack, but this attack deals 0 damage to the player."}]|pictures/elf_shooter.png|2025-09-14 07:59:20
20250914-00060-c656f44a|Twin-Head Nine-Tail|0|Ice|[Fiend]|4|0|1.5|{"normal_attribute":"This card may make one extra attack each turn.","responsive_attribute":"When attacked: DEF +3."}|[]|pictures/nine_tails.png|2025-09-14 07:59:20
20250914-00061-fc9afdc9|Wind Mantis|0|Wind|[Insectfolk]|0|4|2|{}|[{"name":"Wind Blade","energy_cost":0,"effect":"[Attack Skill] ATK +10 this attack."}]|pictures/wind_insect.png|2025-09-14 07:59:20
20250914-00062-63793c4a|Venomshell Matron|0|Poison|[Insect]|4|5|0.5|{"normal_attribute":"ATK +2."}|[]|pictures/poison.png|2025-09-14 07:59:20
20250914-00063-e59990d1|Runestone Golem|0|Rock|[Rockfolk]|3|5|1|{}|[{"name":"Rune Charge","energy_cost":0,"effect":"ATK +5 this turn."}]|pictures/magic_rock.png|2025-09-14 07:59:20
20250914-00064-ed84ae0a|Dunesaint|0|Earth|[Celestial]|2|6|0.5|{"normal_attribute":"While on the field, opponent must attack this card first. Priority equals this card’s ATK."}|[{"name":"Time Rewind","energy_cost":3,"effect":"(Once per turn) Return to the start of our Monster Phase."}]|pictures/sand_god.png|2025-09-14 07:59:20
20250914-00065-87257e64|Ward Acolyte|1|Void|[Celestial]|6|3|1|{"normal_attribute":"During our turn, add this card’s DEF to its ATK and set DEF to 0; restore DEF during the opponent’s turn."}|[{"name":"Ward Ring","energy_cost":0,"effect":"All our monsters gain one shield against battle destruction (does not stack)."},{"name":"Taunt","energy_cost":0,"effect":"Make enemy monsters attack our monsters in sequence of our choosing; the opponent takes the resulting battle damage."}]|pictures/childgod.png|2025-09-14 07:59:20
20250914-00066-3f913e47|Ward Acolyte|1|Void|[Celestial]|6|3|1|{"normal_attribute":"During our turn, add this card’s DEF to its ATK and set DEF to 0; restore DEF during the opponent’s turn."}|[{"name":"Ward Ring","energy_cost":0,"effect":"All our monsters gain one shield against battle destruction (does not stack)."},{"name":"Taunt","energy_cost":0,"effect":"Make enemy monsters attack our monsters in sequence of our choosing; the opponent takes the resulting battle damage."}]|pictures/childgod2.png|2025-09-14 07:59:20
20250914-00067-fdbd1b57|Yaoguang Blood Saint|1|Light|[Celestial]|10|3|1|{"normal_attribute":"When this card deals battle damage, we recover the same amount."}|[]|pictures/blood_god.png|2025-09-14 07:59:20
20250914-00068-3e8f8e7d|Serpent Immortal|0|Poison|[Celestial]|5|3|0.5|{"normal_attribute":"This card’s battle damage is doubled."}|[{"name":"Snake Elixir","energy_cost":1,"effect":"When destroying a monster by battle: draw 1 card."}]|pictures/snake_girl.png|2025-09-14 07:59:20
20250914-00069-ba052fef|Demon Flower|0|Poison|[Demon]|2|3|1|{"normal_attribute":"While on the field, all enemy monsters get DEF −3 (min 0)."}|[{"name":"Poison Splash","energy_cost":1,"effect":"Destroy all enemy monsters with DEF 0."}]|pictures/devil_flower.png|2025-09-14 07:59:20
20250914-00070-00bbf0e4|Bala Thunderling|0|Thunder|[Celestial]|4|4|1|{}|[{"name":"Paralyze","energy_cost":0,"effect":"Choose 1 enemy monster; it cannot attack until the end of the opponent’s next turn."}]|pictures/bala.png|2025-09-14 07:59:20
20250914-00072-46d6aed4|Nightcat|2|Ice|[Demon] A hell-pet rarely seen elsewhere.|9|5|1|{"normal_attribute":"After this card deals damage to the opponent: draw 1 card."}|[{"name":"Frost Breath","energy_cost":0,"effect":"Choose 1 enemy monster; it gets DEF −5 this turn."},{"name":"Ice Echo","energy_cost":1,"effect":"(Use only if our life is lower) One Prophecy used this turn resolves its effect one additional time."}]|pictures/night_cat.png|2025-09-14 07:59:20
20250914-00074-4b67db60|Twin-Head Corpsebull|3|Water|[Undead] Once orcish, slain as an omen; rose in hatred.|12|5|1.5|{"normal_attribute":"This turn this card is silenced (cannot use skills). We may use 1 extra Prophecy this turn.","responsive_attribute":"When destroyed by attack: if it has Mana, you may spend all Mana; after being destroyed, immediately revive it."}|[{"name":"Wave Drum","energy_cost":1,"effect":"[Attack Skill] Damage dealt is doubled."}]|pictures/doublehead_bull.png|2025-09-14 07:59:20
20250914-00075-04963314|Avalokiteshvara|2|Light|[Celestial] A saint among immortals, admired by all.|5|15|0.2|{"normal_attribute":"While on the field, summoning cost of high-level monsters is reduced by 1 Mana; summoned high-level monsters gain 1 Mana."}|[]|pictures/guanyin.png|2025-09-14 07:59:20
20250914-00076-e35d556d|Devout Follower|0||[Human]|0|0|0|{"normal_attribute":"Destroy this card: you may additional summon a monster from hand (its Mana cost −1)."}|[]|pictures/faithful.png|2025-09-14 07:59:20
20250914-00077-75e7a6aa|Lotus Bladesage|1|Wood|[Celestial]|6|4|0|{"responsive_attribute":"When this card attacks: you may add its DEF to ATK; after the attack, its DEF becomes 0 until the end of the opponent’s turn."}|[{"name":"Lotus Art","energy_cost":0,"effect":"Only if the top of the discard is a Prophecy: this card may attack one extra time this turn."}]|pictures/lotus_sword.png|2025-09-14 07:59:20
20250914-00078-a5a33eba|Lotus Shieldsage|0|Wood|[Celestial]|1|6|0|{"normal_attribute":"While on the field, the opponent cannot target the monster to this card’s right for attacks."}|[{"name":"Lotus Shield","energy_cost":0,"effect":"Discard 1 card; DEF +3 until the end of the opponent’s turn."}]|pictures/lotus_shield.png|2025-09-14 07:59:20
20250914-00079-4d7d1ddc|Golden Arhat|0|Metal|[Celestial]|0|8|0|{"responsive_attribute":"When any card leaves the field: this card gains DEF +5 until end of turn and a non-stacking shield against destruction by effects."}|[]|pictures/gold_budda.png|2025-09-14 07:59:20
20250914-00082-43cf93f0|Greedy Jar Spirit|0|Metal|[Spirit] An ancient artifact spirit.|1|1|0|{"normal_attribute":"Cannot be destroyed by battle.","responsive_attribute":"When the opponent draws outside their Draw Phase: we draw the same number."}|[]|pictures/greedy.png|2025-09-14 07:59:20
20250914-00005-b64ac1ef|Orca Boss|0||[Merfolk]|4|4|0.5|{"normal_attribute":"Battle damage dealt by this card is ×1.5 (round up)."}|[{"name":"Orca Fist","energy_cost":1,"effect":"[Attack Skill] ATK ×2 this attack."}]|pictures/hujin.png|2025-09-17 21:08:21
20250914-00001-2322b230|Bone-Spike Witch|1|Earth|[Demon]|10|4|0.5|{}|[{"name":"Pierce Heart","energy_cost":1,"effect":"[Attack Skill] When this attack destroys a monster by battle: deal damage to the opponent equal to that monster’s DEF (treated as battle damage). This card gains DEF +3 until the end of the opponent’s turn."}]|pictures/skeleton_girl.png|2025-09-17 21:08:26
20250914-00011-3ff35124|Sardine Swarm|0||[Fish]|0|0|0|{}|[{"name":"Leftovers","energy_cost":0,"effect":"(Use up to 3 times per turn.) Draw 1 card; you may immediately Set it. Faith -2."}]|pictures/sadin_fish.png|2025-09-17 21:10:30
20250914-00004-0b970164|Dancer Mer|0|Water|[Merfolk]|0|3|0|{"normal_attribute":"May use 1 extra Prophecy in Prophecy Phase each turn."}|[{"name":"Guard Dance","energy_cost":0,"effect":"Faith -5; the next attack against this card is negated."},{"name":"War Dance","energy_cost":0,"effect":"Discard 1 card: this card gains ATK +5 this turn (up to 3 cards)."}]|pictures/dance_fish.png|2025-09-17 21:12:27
20250914-00030-57451eff|Mount Wolf|1|Earth|[Beast] A low-IQ wolf you can ride for a bit.|5|8|0.5|{"normal_attribute":"If the opponent controls no face-up monsters: ATK +3.","responsive_attribute":"When our monster attacks: this card may co-attack; that monster gains this card’s ATK (co-attack counts as an attack)."}|[]|pictures/ride_wolf.png|2025-09-17 21:13:21
20250914-00002-0dfbcedf|Shark Hunter|0|Water|[Merfolk] Poor but tough.|5|3|0|{"responsive_attribute":"When we take non-battle damage: draw 1 card."}|[{"name":"Wave Break","energy_cost":2,"effect":"[Attack Skill] Opponent discards 2 random cards."}]|pictures/sharkman.png|2025-09-18 08:29:29
20250914-00003-86c0c963|Gale Demonfish|1|Wind|[Fish]|5|4|2|{}|[{"name":"Gust Pull","energy_cost":0,"effect":"Choose 1 enemy monster; return it to the opponent’s hand, then gain all Mana on that monster."}]|pictures/cyclone.png|2025-09-18 08:49:21
20250918-00001-83561179|Scarlet Shield Captain|0|Metal|[Human]|1|9|0|{}|[]|pictures/shield_woman.png|2025-09-18 09:10:02
20250920-00171-62208d89|Dragon Rider|0|Wood|[Beastfolk]|0|5|1|{"responsive_attribute":"(Up to twice per turn) When we take effect damage: draw 1 card."}|[{"name":"Dragon Ride","energy_cost":0,"effect":"[Attack Skill] Target 1 Level 0 monster we control that has not attacked this turn; this attack gains ATK equal to that target’s current ATK. After this attack resolves: we gain Faith +5, and that target’s remaining attack count is reduced by 1 this turn."}]|pictures/dragon_rider.png|2025-09-20 14:50:47
20250920-00170-5f5f4caf|Crimson Drake|1|Metal|[Dragon]|11|7|1|{"normal_attribute":"After this card is Normal Summoned: immediately destroy 1 monster we control, or destroy this card. At each End Phase: discard 2 cards from our hand."}|[{"name":"Crimson Slaughter","energy_cost":1,"effect":"[Attack Skill] When this card destroys a monster by battle: inflict damage to the opponent equal to 2 × that destroyed monster’s original ATK."}]|pictures/red_dragon.png|2025-09-20 14:58:31
20250914-00080-82c3f4a2|Frostscale Wyrmling|0|Ice|[Dragon]|8|8|0|{"normal_attribute":"Normal summon only by returning 1 Prophecy from hand to the top of the deck. At each End Phase, deal 5 damage to us."}|[]|pictures/dragon2.png|2025-09-20 15:27:46
20250914-00081-17a4e98b|Gondor Wyrmling|0|Fire|[Dragon]|10|6|0|{"normal_attribute":"Normal summon only by destroying 1 of our monsters or discarding 2 cards. At each End Phase, deal 5 damage to us."}|[]|pictures/little_dragon.png|2025-09-20 15:27:58
20250926-00173-796b27ae|Swiftbolt Drake|0|Thunder|[Dragon]|3|5|0.5|{"normal_attribute":"While this card has any Mana, negate opponent card effects that would destroy cards.","responsive_attribute":"Each time the opponent uses a card with a destroy effect: remove 1 Mana from this card."}|[]|pictures/lighting_dragon.png|2025-09-26 21:06:15
20250926-00172-93a49c3e|Redrock Wyrmling|0|Rock|[Dragon]|2|13|0|{"normal_attribute":"To Normal Summon this card: first destroy 1 of our Set (face-down) monsters and discard 1 card from our hand.","responsive_attribute":"At the end of our turn: we take 5 damage."}|[]|pictures/redrock_dragon.png|2025-09-26 21:06:19
20250926-00174-6122f717|Toxbloom Vaenblom|1|Poison|[Dragon]|7|11|1|{"normal_attribute":"After this card is Normal Summoned: we take 10 damage.","responsive_attribute":"At the end of our turn: discard 1 random card from our hand."}|[{"name":"Toxin Mark","energy_cost":0,"effect":"Choose 1 opponent face-up monster; mark it. At the end of the opponent’s next turn, destroy that marked monster."}]|pictures/poison_dragon.png|2025-09-26 21:06:25
